country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GB,United Kingdom,,,4/2/2020,-75,-32,-24,-73,-70,29
GB,United Kingdom,,,4/3/2020,-76,-30,-25,-72,-69,29
GB,United Kingdom,,,4/10/2020,-78,-33,-18,-75,-80,32
GB,United Kingdom,,,4/13/2020,-78,-41,-21,-78,-83,31
GB,United Kingdom,,,4/17/2020,-75,-30,-33,-71,-68,29
GB,United Kingdom,Aberdeen City,,3/27/2020,-80,-28,-28,-69,-69,30
GB,United Kingdom,Aberdeen City,,4/1/2020,-79,-30,-27,-68,-70,29
GB,United Kingdom,Aberdeen City,,4/2/2020,-81,-33,-33,-72,-71,30
GB,United Kingdom,Aberdeen City,,4/3/2020,-80,-29,-33,-70,-70,30
GB,United Kingdom,Aberdeen City,,4/8/2020,-80,-32,-32,-67,-71,29
GB,United Kingdom,Aberdeen City,,4/9/2020,-80,-24,-19,-67,-72,29
GB,United Kingdom,Aberdeen City,,4/10/2020,-80,-25,-28,-68,-73,30
GB,United Kingdom,Aberdeen City,,4/13/2020,-82,-38,-20,-72,-76,30
GB,United Kingdom,Aberdeen City,,4/16/2020,-80,-29,-16,-66,-71,29
GB,United Kingdom,Aberdeen City,,4/17/2020,-80,-27,-6,-67,-71,30
GB,United Kingdom,Aberdeen City,,4/24/2020,-81,-27,-7,-70,-68,29
GB,United Kingdom,Antrim And Newtownabbey,,3/27/2020,-67,-24,,-79,-65,29
GB,United Kingdom,Antrim And Newtownabbey,,4/1/2020,-66,-29,,-80,-69,29
GB,United Kingdom,Antrim And Newtownabbey,,4/2/2020,-68,-28,,-81,-70,30
GB,United Kingdom,Antrim And Newtownabbey,,4/3/2020,-67,-27,,-82,-68,30
GB,United Kingdom,Antrim And Newtownabbey,,4/10/2020,-62,-25,,-81,-72,30
