date,day,month,year,daily_confirmed_cases,daily_deaths,confirmed_cases,deaths,countries_and_territories,geo_id,country_territory_code,pop_data_2018
2019-12-31,31,12,2019,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-01,1,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-02,2,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-03,3,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-04,4,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-05,5,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-06,6,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-07,7,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-08,8,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-09,9,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-10,10,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-11,11,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-12,12,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-13,13,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-14,14,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-15,15,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-16,16,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-17,17,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-18,18,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-19,19,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-20,20,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-21,21,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-22,22,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-23,23,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-24,24,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-25,25,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-26,26,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-27,27,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-28,28,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-29,29,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-30,30,1,2020,0,0,0,0,United_Kingdom,UK,GBR,66488991
2020-01-31,31,1,2020,2,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-01,1,2,2020,0,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-02,2,2,2020,0,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-03,3,2,2020,0,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-04,4,2,2020,0,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-05,5,2,2020,0,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-06,6,2,2020,0,0,2,0,United_Kingdom,UK,GBR,66488991
2020-02-07,7,2,2020,1,0,3,0,United_Kingdom,UK,GBR,66488991
2020-02-08,8,2,2020,0,0,3,0,United_Kingdom,UK,GBR,66488991
2020-02-09,9,2,2020,1,0,4,0,United_Kingdom,UK,GBR,66488991
2020-02-10,10,2,2020,0,0,4,0,United_Kingdom,UK,GBR,66488991
2020-02-11,11,2,2020,4,0,8,0,United_Kingdom,UK,GBR,66488991
2020-02-12,12,2,2020,0,0,8,0,United_Kingdom,UK,GBR,66488991
2020-02-13,13,2,2020,1,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-14,14,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-15,15,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-16,16,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-17,17,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-18,18,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-19,19,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-20,20,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-21,21,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-22,22,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-23,23,2,2020,0,0,9,0,United_Kingdom,UK,GBR,66488991
2020-02-24,24,2,2020,4,0,13,0,United_Kingdom,UK,GBR,66488991
2020-02-25,25,2,2020,0,0,13,0,United_Kingdom,UK,GBR,66488991
2020-02-26,26,2,2020,0,0,13,0,United_Kingdom,UK,GBR,66488991
2020-02-27,27,2,2020,0,0,13,0,United_Kingdom,UK,GBR,66488991
2020-02-28,28,2,2020,3,0,16,0,United_Kingdom,UK,GBR,66488991
2020-02-29,29,2,2020,2,0,18,0,United_Kingdom,UK,GBR,66488991
2020-03-01,1,3,2020,5,0,23,0,United_Kingdom,UK,GBR,66488991
2020-03-02,2,3,2020,13,0,36,0,United_Kingdom,UK,GBR,66488991
2020-03-03,3,3,2020,4,0,40,0,United_Kingdom,UK,GBR,66488991
2020-03-04,4,3,2020,11,0,51,0,United_Kingdom,UK,GBR,66488991
2020-03-05,5,3,2020,34,0,85,0,United_Kingdom,UK,GBR,66488991
2020-03-06,6,3,2020,30,0,115,0,United_Kingdom,UK,GBR,66488991
2020-03-07,7,3,2020,48,1,163,1,United_Kingdom,UK,GBR,66488991
2020-03-08,8,3,2020,43,1,206,2,United_Kingdom,UK,GBR,66488991
2020-03-09,9,3,2020,67,0,273,2,United_Kingdom,UK,GBR,66488991
2020-03-10,10,3,2020,48,1,321,3,United_Kingdom,UK,GBR,66488991
2020-03-11,11,3,2020,52,4,373,7,United_Kingdom,UK,GBR,66488991
2020-03-12,12,3,2020,83,0,456,7,United_Kingdom,UK,GBR,66488991
2020-03-13,13,3,2020,134,2,590,9,United_Kingdom,UK,GBR,66488991
2020-03-14,14,3,2020,117,1,707,10,United_Kingdom,UK,GBR,66488991
2020-03-15,15,3,2020,433,18,1140,28,United_Kingdom,UK,GBR,66488991
2020-03-16,16,3,2020,251,15,1391,43,United_Kingdom,UK,GBR,66488991
2020-03-17,17,3,2020,152,22,1543,65,United_Kingdom,UK,GBR,66488991
2020-03-18,18,3,2020,407,16,1950,81,United_Kingdom,UK,GBR,66488991
2020-03-19,19,3,2020,680,34,2630,115,United_Kingdom,UK,GBR,66488991
2020-03-20,20,3,2020,647,43,3277,158,United_Kingdom,UK,GBR,66488991
2020-03-21,21,3,2020,706,36,3983,194,United_Kingdom,UK,GBR,66488991
2020-03-22,22,3,2020,1035,56,5018,250,United_Kingdom,UK,GBR,66488991
2020-03-23,23,3,2020,665,35,5683,285,United_Kingdom,UK,GBR,66488991
2020-03-24,24,3,2020,967,74,6650,359,United_Kingdom,UK,GBR,66488991
2020-03-25,25,3,2020,1427,149,8077,508,United_Kingdom,UK,GBR,66488991
2020-03-26,26,3,2020,1452,186,9529,694,United_Kingdom,UK,GBR,66488991
2020-03-27,27,3,2020,2129,183,11658,877,United_Kingdom,UK,GBR,66488991
2020-03-28,28,3,2020,2885,284,14543,1161,United_Kingdom,UK,GBR,66488991
2020-03-29,29,3,2020,2546,294,17089,1455,United_Kingdom,UK,GBR,66488991
2020-03-30,30,3,2020,2433,214,19522,1669,United_Kingdom,UK,GBR,66488991
2020-03-31,31,3,2020,2619,374,22141,2043,United_Kingdom,UK,GBR,66488991
2020-04-01,1,4,2020,3009,382,25150,2425,United_Kingdom,UK,GBR,66488991
2020-04-02,2,4,2020,4324,670,29474,3095,United_Kingdom,UK,GBR,66488991
2020-04-03,3,4,2020,4244,652,33718,3747,United_Kingdom,UK,GBR,66488991
2020-04-04,4,4,2020,4450,714,38168,4461,United_Kingdom,UK,GBR,66488991
2020-04-05,5,4,2020,3735,760,41903,5221,United_Kingdom,UK,GBR,66488991
2020-04-06,6,4,2020,5903,644,47806,5865,United_Kingdom,UK,GBR,66488991
2020-04-07,7,4,2020,3802,568,51608,6433,United_Kingdom,UK,GBR,66488991
2020-04-08,8,4,2020,3634,1038,55242,7471,United_Kingdom,UK,GBR,66488991
2020-04-09,9,4,2020,5491,1034,60733,8505,United_Kingdom,UK,GBR,66488991
2020-04-10,10,4,2020,4344,1103,65077,9608,United_Kingdom,UK,GBR,66488991
2020-04-11,11,4,2020,5195,1152,70272,10760,United_Kingdom,UK,GBR,66488991
2020-04-12,12,4,2020,8719,839,78991,11599,United_Kingdom,UK,GBR,66488991
2020-04-13,13,4,2020,5288,686,84279,12285,United_Kingdom,UK,GBR,66488991
2020-04-14,14,4,2020,4342,744,88621,13029,United_Kingdom,UK,GBR,66488991
2020-04-15,15,4,2020,5252,1044,93873,14073,United_Kingdom,UK,GBR,66488991
2020-04-16,16,4,2020,4603,842,98476,14915,United_Kingdom,UK,GBR,66488991
2020-04-17,17,4,2020,4617,1029,103093,15944,United_Kingdom,UK,GBR,66488991
2020-04-18,18,4,2020,5599,935,108692,16879,United_Kingdom,UK,GBR,66488991
2020-04-19,19,4,2020,5525,1115,114217,17994,United_Kingdom,UK,GBR,66488991
2020-04-20,20,4,2020,5850,498,120067,18492,United_Kingdom,UK,GBR,66488991
2020-04-21,21,4,2020,4676,559,124743,19051,United_Kingdom,UK,GBR,66488991
2020-04-22,22,4,2020,4301,1172,129044,20223,United_Kingdom,UK,GBR,66488991
2020-04-23,23,4,2020,4451,837,133495,21060,United_Kingdom,UK,GBR,66488991
2020-04-24,24,4,2020,4583,727,138078,21787,United_Kingdom,UK,GBR,66488991
2020-04-25,25,4,2020,5386,1005,143464,22792,United_Kingdom,UK,GBR,66488991
2020-04-26,26,4,2020,4913,843,148377,23635,United_Kingdom,UK,GBR,66488991
2020-04-27,27,4,2020,4463,420,152840,24055,United_Kingdom,UK,GBR,66488991
2020-04-28,28,4,2020,4309,338,157149,24393,United_Kingdom,UK,GBR,66488991
2020-04-29,29,4,2020,3996,909,161145,25302,United_Kingdom,UK,GBR,66488991
2020-04-30,30,4,2020,4076,795,165221,26097,United_Kingdom,UK,GBR,66488991
2020-05-01,1,5,2020,6032,674,171253,26771,United_Kingdom,UK,GBR,66488991
2020-05-02,2,5,2020,6201,739,177454,27510,United_Kingdom,UK,GBR,66488991
